policy,lambda,replica,seed,duration,warmup,mu0,mu1,mu2,X,E_R,E_TQ,E_N,U0,U1,U2,n_arrived,n_after_warmup,n_completed,drop_prob
random,1.8,8,1008,5000.0,500.0,1.0,1.0,1.0,1.8262222222222222,2.8267823229700233,1.8085746768337336,5.164394074184029,0.6088682317349734,0.6272132038547407,0.6241861300617689,9131,8220,8220,0.0
random,1.8,9,1009,5000.0,500.0,1.0,1.0,1.0,1.780888888888889,2.697726749488448,1.693739030790163,4.80305627430123,0.5848341914708143,0.6271702573322173,0.5759183058937858,8888,8010,8010,0.0
random,1.8,10,1010,5000.0,500.0,1.0,1.0,1.0,1.7824444444444445,2.5838429701775305,1.5841058749708512,4.605073035488884,0.5868973147316698,0.5924078119720976,0.6020050282393147,8934,8021,8021,0.0
random,2.4,1,1001,5000.0,500.0,1.0,1.0,1.0,2.357111111111111,4.353088607568051,3.3533036611494813,10.269020563932186,0.7652322335609222,0.774056767050994,0.8178088455698613,11766,10605,10605,0.0
random,2.4,2,1002,5000.0,500.0,1.0,1.0,1.0,2.3746666666666667,4.269342301392221,3.2796920327798555,10.14466264737234,0.8155133511271829,0.7535926898694268,0.7807184336555865,11852,10687,10687,0.0
random,2.4,3,1003,5000.0,500.0,1.0,1.0,1.0,2.4153333333333333,5.582395830851285,4.582797902077185,13.539427317868482,0.8000723665191883,0.8077969554722412,0.8096051334232722,12073,10863,10863,0.0
random,2.4,4,1004,5000.0,500.0,1.0,1.0,1.0,2.3824444444444444,4.777348136064055,3.782453787881703,11.377422700775238,0.7627293576639138,0.7962220976695811,0.8101956445935168,11836,10708,10708,0.0
random,2.4,5,1005,5000.0,500.0,1.0,1.0,1.0,2.388888888888889,4.73846792032499,3.7470630489757184,11.322941797458773,0.8222537758424427,0.7736015508428944,0.7747783304499277,11985,10739,10739,0.0
random,2.4,6,1006,5000.0,500.0,1.0,1.0,1.0,2.4157777777777776,5.307511741683643,4.307298366322379,12.821850267195286,0.8033766541430384,0.8017114783661832,0.8110686465094925,12060,10860,10860,0.0
random,2.4,7,1007,5000.0,500.0,1.0,1.0,1.0,2.426888888888889,5.01848560170975,4.02100549182251,12.17664433866386,0.8024348066147061,0.8191373156278575,0.798960817538744,12145,10930,10930,0.0
random,2.4,8,1008,5000.0,500.0,1.0,1.0,1.0,2.428,6.1827993032735975,5.16055203677102,15.01182187327742,0.8160640385629752,0.8170952179684285,0.8503639306635588,12137,10918,10918,0.0
random,2.4,9,1009,5000.0,500.0,1.0,1.0,1.0,2.3682222222222222,4.816262005984503,3.82178796117722,11.412493412628228,0.7702510306155258,0.8168301351932187,0.7701196835074389,11801,10667,10667,0.0
random,2.4,10,1010,5000.0,500.0,1.0,1.0,1.0,2.394222222222222,5.213385396173927,4.216367988330118,12.487746716119362,0.7842587716191384,0.7975902836400994,0.8062845747610125,11970,10776,10776,0.0
random,2.7,1,1001,5000.0,500.0,1.0,1.0,1.0,2.6593333333333335,8.177616568932393,7.1771524083066796,21.726501158391674,0.8692756457744842,0.8707111596152062,0.9199514029464685,13271,11970,11970,0.0
random,2.7,2,1002,5000.0,500.0,1.0,1.0,1.0,2.6782222222222223,8.553704915565609,7.564131498090145,22.918356533627808,0.9127025465604254,0.8626952878400749,0.8751430470940649,13387,12065,12065,0.0
random,2.7,3,1003,5000.0,500.0,1.0,1.0,1.0,2.7164444444444444,12.040761546846035,11.040851465990537,32.81192556829821,0.9046164971217596,0.9061786911864376,0.9030833615539915,13535,12190,12190,0.0
random,2.7,4,1004,5000.0,500.0,1.0,1.0,1.0,2.6646666666666667,8.818464267672978,7.82010614999696,23.451871484233802,0.8644639044652633,0.8847159446305616,0.9122111205507817,13280,12010,12010,0.0
random,2.7,5,1005,5000.0,500.0,1.0,1.0,1.0,2.6862222222222223,8.133663486196248,7.139609637927239,21.84401352282959,0.9239577687043956,0.8698123873045687,0.8757826327436494,13487,12103,12103,0.0
random,2.7,6,1006,5000.0,500.0,1.0,1.0,1.0,2.7182222222222223,10.210676004769446,9.209202198471928,27.752135661774975,0.9117235442358456,0.8970844145022357,0.9152635153587428,13579,12234,12234,0.0
random,2.7,7,1007,5000.0,500.0,1.0,1.0,1.0,2.731333333333333,8.984868789861835,7.989453079249678,24.54167117861163,0.897243405792133,0.91609016567478,0.9047486214882463,13640,12282,12282,0.0
random,2.7,8,1008,5000.0,500.0,1.0,1.0,1.0,2.7275555555555555,13.185858446628519,12.169288729581591,35.9385307320944,0.9164654645481417,0.9098516388046651,0.9455529733231455,13636,12271,12271,0.0
random,2.7,9,1009,5000.0,500.0,1.0,1.0,1.0,2.6497777777777776,8.247212575234911,7.253599178120515,21.78686236051032,0.8529250222927789,0.91446147225997,0.8633850511921349,13244,11952,11952,0.0
random,2.7,10,1010,5000.0,500.0,1.0,1.0,1.0,2.702888888888889,9.530300094418111,8.530607719858043,25.772085626735475,0.8821849708092433,0.9050399857352869,0.9157574240725678,13483,12146,12146,0.0
round_robin,0.6,1,1001,5000.0,500.0,1.0,1.0,1.0,0.5877777777777777,1.059498449922469,0.04756352691122901,0.6222249281170944,0.20026185800301194,0.19685366739786692,0.19718274907076846,2904,2646,2646,0.0
round_robin,0.6,2,1002,5000.0,500.0,1.0,1.0,1.0,0.5973333333333334,1.0525662398153675,0.058887018719029495,0.6287329005830461,0.20691492234118722,0.19565533031398732,0.1909874687463713,2976,2688,2688,0.0
round_robin,0.6,3,1003,5000.0,500.0,1.0,1.0,1.0,0.5904444444444444,1.0650888872653654,0.05695149879385478,0.6287259244850906,0.200302461621115,0.1978981126857963,0.19686243158123626,2948,2653,2653,0.0
round_robin,0.6,4,1004,5000.0,500.0,1.0,1.0,1.0,0.5906666666666667,1.0560030620277734,0.06447348103480807,0.6242540428617224,0.19123273110797184,0.20142240049201743,0.1935165751305064,2922,2658,2658,0.0
round_robin,0.6,5,1005,5000.0,500.0,1.0,1.0,1.0,0.6086666666666667,1.0182805481818251,0.052691209355811154,0.6196925732342239,0.19930637650466948,0.1887825699941329,0.19954395313181905,3069,2738,2738,0.0
round_robin,0.6,6,1006,5000.0,500.0,1.0,1.0,1.0,0.6042222222222222,1.0743209002504324,0.06952440547976423,0.6496786650524893,0.2028006511020807,0.21272254457963197,0.19182546636467315,3023,2718,2718,0.0
round_robin,0.6,7,1007,5000.0,500.0,1.0,1.0,1.0,0.6106666666666667,1.0375598143637859,0.05511149080493235,0.6336031933048186,0.20131737606971398,0.198135186019569,0.20049588083065684,3044,2748,2748,0.0
round_robin,0.6,8,1008,5000.0,500.0,1.0,1.0,1.0,0.5931111111111111,1.0753137407785933,0.06535935351487451,0.6349110997250773,0.19866849075126183,0.19615890903701094,0.20291553530976475,3006,2673,2673,0.0
round_robin,0.6,9,1009,5000.0,500.0,1.0,1.0,1.0,0.5773333333333334,1.0728441467835954,0.0758719603551118,0.6191531474854454,0.19654844569321064,0.18574136333110478,0.19307678711841314,2903,2597,2597,0.0
