policy,lambda,replica,seed,duration,warmup,mu0,mu1,mu2,X,E_R,E_TQ,E_N,U0,U1,U2,n_arrived,n_after_warmup,n_completed,drop_prob
proportional,0.6,10,1010,5000.0,500.0,1.5,1.0,0.5,0.5862222222222222,1.2238290058172314,0.2377055934953453,0.7171698729051784,0.2026523293542647,0.17836285586805992,0.19680638642936024,2959,2638,2638,0.0
proportional,1.2,1,1001,5000.0,500.0,1.5,1.0,0.5,1.1557777777777778,1.5898366761674183,0.5874774051647499,1.834918919935619,0.3832477669084852,0.3878433398551317,0.38649917149872604,5768,5202,5202,0.0
proportional,1.2,2,1002,5000.0,500.0,1.5,1.0,0.5,1.1662222222222223,1.6009182288846726,0.6168168801127287,1.8670068111735498,0.3861254243839381,0.39133135621363735,0.3702044779467278,5854,5248,5248,0.0
proportional,1.2,3,1003,5000.0,500.0,1.5,1.0,0.5,1.1946666666666668,1.620939983722749,0.633006698846796,1.9347837022916905,0.39957383288492626,0.4001571366776809,0.37971297237975843,5961,5377,5377,0.0
proportional,1.2,4,1004,5000.0,500.0,1.5,1.0,0.5,1.1855555555555555,1.631965308717591,0.6396037109485805,1.934253767278106,0.40446846774809947,0.3755385789131055,0.39608872037299503,5886,5331,5331,0.0
proportional,1.2,5,1005,5000.0,500.0,1.5,1.0,0.5,1.2017777777777778,1.5998022435422092,0.614709362394962,1.9226574715405504,0.39843896660099987,0.3941505183270385,0.39130200292836437,6040,5412,5412,0.0
proportional,1.2,6,1006,5000.0,500.0,1.5,1.0,0.5,1.2084444444444444,1.6491048037339109,0.6578693919461958,1.9929303507393488,0.4029152566747406,0.3991390463343682,0.39601367343769117,6044,5437,5437,0.0
proportional,1.2,7,1007,5000.0,500.0,1.5,1.0,0.5,1.221111111111111,1.643561721768838,0.6596680353854849,2.0070083552360196,0.4092842626922431,0.3852437904047594,0.4069523344849643,6126,5495,5495,0.0
proportional,1.2,8,1008,5000.0,500.0,1.5,1.0,0.5,1.218,1.6885815088743508,0.6687601865803546,2.0569976990708714,0.415942302935109,0.41973466514219787,0.4064735969891108,6066,5483,5483,0.0
proportional,1.2,9,1009,5000.0,500.0,1.5,1.0,0.5,1.1742222222222223,1.720879459079227,0.7059060733742943,2.021054528802042,0.393097365142091,0.3976369776990699,0.401272719786849,5872,5285,5285,0.0
proportional,1.2,10,1010,5000.0,500.0,1.5,1.0,0.5,1.19,1.5936433414189963,0.6081118481921033,1.8967632316945107,0.4004899092711692,0.3899034315424506,0.38258165556603135,5985,5356,5356,0.0
proportional,1.8,1,1001,5000.0,500.0,1.5,1.0,0.5,1.746,2.3049173275819594,1.3112904740988323,4.013125742770316,0.5788216877337785,0.5910834912005776,0.5613604922197035,8725,7858,7858,0.0
proportional,1.8,2,1002,5000.0,500.0,1.5,1.0,0.5,1.766,2.3449492382695185,1.3589064917553462,4.141501195960746,0.5743086631447093,0.6009009674732303,0.5654027977304777,8830,7952,7952,0.0
proportional,1.8,3,1003,5000.0,500.0,1.5,1.0,0.5,1.8102222222222222,2.548277917129643,1.5468858330255084,4.612161501581944,0.5910563392681851,0.6275258793807692,0.5942651842762007,9046,8143,8143,0.0
proportional,1.8,4,1004,5000.0,500.0,1.5,1.0,0.5,1.772,2.3206823251289004,1.3264551830397526,4.099580935858668,0.6014616300557799,0.5640138778994216,0.5943898563233873,8817,7979,7979,0.0
proportional,1.8,5,1005,5000.0,500.0,1.5,1.0,0.5,1.7973333333333332,2.279587694265391,1.3019818566961776,4.0989106247675435,0.6001918705767157,0.5849012135655853,0.573231693128408,9032,8088,8088,0.0
proportional,1.8,6,1006,5000.0,500.0,1.5,1.0,0.5,1.8004444444444445,2.3899363061907843,1.3967246262934443,4.303000638790836,0.5984767011331634,0.5890884543542447,0.600375303359117,9014,8105,8105,0.0
proportional,1.8,7,1007,5000.0,500.0,1.5,1.0,0.5,1.82,2.5977439687783552,1.6011796538301808,4.72766930484136,0.6189829637020398,0.5830265190308569,0.6107716525209186,9129,8196,8196,0.0
proportional,1.8,8,1008,5000.0,500.0,1.5,1.0,0.5,1.8266666666666667,2.660914924662406,1.64972167585753,4.859186769703746,0.6248144627158456,0.6240827302849995,0.5977912046224987,9131,8220,8220,0.0
proportional,1.8,9,1009,5000.0,500.0,1.5,1.0,0.5,1.7804444444444445,2.622909577331029,1.6183324018722733,4.66945597170285,0.5939424794104259,0.5986048172915415,0.5961369362103354,8888,8010,8010,0.0
proportional,1.8,10,1010,5000.0,500.0,1.5,1.0,0.5,1.782,2.445076893394407,1.4514714535515207,4.358417079993689,0.5998917146926412,0.591845767956251,0.5795652342544464,8934,8021,8021,0.0
proportional,2.4,1,1001,5000.0,500.0,1.5,1.0,0.5,2.3564444444444446,4.402917282480728,3.40922789645595,10.372016209001734,0.784365204874992,0.801413706519123,0.7554805515943134,11766,10605,10605,0.0
proportional,2.4,2,1002,5000.0,500.0,1.5,1.0,0.5,2.373111111111111,4.397986402665016,3.407276400052972,10.41671985101435,0.7743568081408799,0.7981572438651728,0.7769266035314785,11852,10687,10687,0.0
proportional,2.4,3,1003,5000.0,500.0,1.5,1.0,0.5,2.413111111111111,5.143639396629206,4.144428100855889,12.41900230760367,0.7876228792843379,0.8372290675776451,0.7888494938381782,12073,10863,10863,0.0
proportional,2.4,4,1004,5000.0,500.0,1.5,1.0,0.5,2.3804444444444446,4.314674971945664,3.324863657888735,10.270796375431802,0.80894993157918,0.7615815755364472,0.7852460024871911,11836,10708,10708,0.0
proportional,2.4,5,1005,5000.0,500.0,1.5,1.0,0.5,2.389777777777778,4.189281661349096,3.205262909712411,10.014137693323113,0.8065369053960502,0.7763603234644287,0.7687304899927013,11985,10739,10739,0.0
proportional,2.4,6,1006,5000.0,500.0,1.5,1.0,0.5,2.414,4.968489083952076,3.973433970975106,11.99302704492071,0.8099725112530544,0.8067954634274572,0.7858721745977448,12060,10860,10860,0.0
